日付,曜日,件数
2024-01-01,月,44
2024-01-02,火,49
2024-01-03,水,48
2024-01-04,木,53
2024-01-05,金,51
2024-01-08,月,46
2024-01-09,火,51
2024-01-10,水,51
2024-01-11,木,51
2024-01-12,金,51
2024-01-15,月,49
2024-01-16,火,53
2024-01-17,水,51
2024-01-18,木,49
2024-01-19,金,47
2024-01-22,月,53
2024-01-23,火,53
2024-01-24,水,49
2024-01-25,木,50
2024-01-26,金,55
2024-01-29,月,48
2024-01-30,火,46
2024-01-31,水,50
2024-02-01,木,46
2024-02-02,金,51
2024-02-05,月,48
2024-02-06,火,52
2024-02-07,水,45
2024-02-08,木,48
2024-02-09,金,53
2024-02-12,月,49
2024-02-13,火,45
2024-02-14,水,48
2024-02-15,木,46
2024-02-16,金,49
2024-02-19,月,51
2024-02-20,火,49
2024-02-21,水,50
2024-02-22,木,49
2024-02-23,金,46
2024-02-26,月,51
2024-02-27,火,49
2024-02-28,水,44
2024-02-29,木,53
